sample_id,parent_synthetic_sample_id,source_blank_id,blank_p50,blank_p95,blank_p99,composite_p50,composite_p95,composite_p99,synthetic_foreground_max,synthetic_foreground_integrated_signal,composite_minus_blank_p95,composite_minus_blank_p99,clipping_fraction,saturation_fraction,foreground_occupancy,foreground_occupancy_definition
blank_composite_3d_realism_0000,synthetic_3d_realism_0000,img_014d9d77d1d61fed189b,1,8,11,1,8,11,74.9672,53495.1,0,0,0,0,0.00396252,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0001,synthetic_3d_realism_0001,img_093eea09221a4db0ebec,1,8,11,1,8,11,128.846,92385.8,0,0,0,0,0.00774193,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0002,synthetic_3d_realism_0002,img_0d1c01fd26080936f42b,1,6,9,1,6,13,94.224,244318,0,4,0,0,0.0173407,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0003,synthetic_3d_realism_0003,img_0d4cd0a31114b105cf51,1,11,16,1,11,16,86.073,135018,0,0,0,0,0.00946808,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0004,synthetic_3d_realism_0004,img_0edb6472854aea980f2a,9,23,29,9,23,29,71.4859,133686,0,0,0,0,0.00883102,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0005,synthetic_3d_realism_0005,img_1672f71f16b77dc4d642,3,9,14,3,9,14,238.128,133929,0,0,0,0,0.00839901,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0006,synthetic_3d_realism_0006,img_178ab769e005e689ff6f,4,13,18,4,13,19,121.169,259609,0,1,0,0,0.0170555,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
blank_composite_3d_realism_0007,synthetic_3d_realism_0007,img_1ba419dc88931db47c8c,3,8,13,3,9,14,225.976,218201,1,1,0,0,0.0134029,fraction of pixels where synthetic_signal_float exceeds the configured visible_signal_threshold
