stable_image_id,source_kind,relative_path,inferred_pn,inferred_round,inferred_condition,inferred_div,series_index,mean,std,zero_fraction,saturation_fraction,local_mean_p25,local_mean_p50,local_mean_p75,local_variance_p25,local_variance_p50,local_variance_p75,row_variation,column_variation,low_frequency_gradient_p95_minus_p5,high_frequency_residual_std,high_frequency_residual_p99_abs,directional_power_ratio,radial_power_first_bin,radial_power_tail_median,autocorrelation_first_bin,autocorrelation_tail_median,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100
exploratory_real_blank_composites_0000,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,8.3046,15.0142,0.0482883,1.43051e-05,4.39795,6.10449,9.18872,8.48412,13.3027,20.8836,0.192799,0.198153,13.8169,14.1103,86.5076,0.869514,8.25187e+08,158060,0.268659,-0.019179,0,0,0,1,3,6,9,17,101,146,255
exploratory_real_blank_composites_0001,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,13.0474,14.1992,0.0254297,1.33514e-05,7.02783,11.2451,18.1064,13.3893,22.9775,41.826,0.283874,0.240937,21.3861,12.2272,72.7279,0.995211,2.03281e+09,110643,0.444801,-0.0443086,0,0,0,1,6,11,16,29,93,131,255
exploratory_real_blank_composites_0002,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,8.72759,15.7192,0.0804319,3.33786e-05,2.91504,6.04883,11.0015,5.43564,11.8853,24.5506,0.248355,0.256643,18.6676,14.115,85.1095,1.27012,1.78968e+09,107167,0.358923,-0.0442837,0,0,0,0,3,6,9,21,102,153,255
exploratory_real_blank_composites_0003,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,8.05188,15.5844,0.0494413,3.05176e-05,3.90308,6.12744,7.95825,7.23189,11.4141,16.937,0.234487,0.200852,15.4426,14.4336,90.8602,0.766734,1.17468e+09,162065,0.296391,-0.0309107,0,0,0,1,3,6,8,16,108,148,255
exploratory_real_blank_composites_0004,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,6.4347,12.9027,0.140882,1.14441e-05,2.34619,5.27734,7.61011,4.42708,11.3763,16.8787,0.286718,0.207796,14.6635,11.6951,72.2824,1.02081,1.08754e+09,94835.7,0.345843,-0.0542903,0,0,0,0,1,4,8,14,89,132,255
exploratory_real_blank_composites_0005,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,10.4378,16.5566,0.0952959,7.53403e-05,2.95386,9.72119,13.9968,5.54065,20.6354,31.6099,0.365545,0.179688,22.4991,14.4542,87.0942,0.958011,2.57899e+09,101588,0.405862,-0.0780084,0,0,0,0,3,8,13,24,107,150,255
exploratory_real_blank_composites_0006,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,12.653,16.3205,0.0434971,3.52859e-05,5.75562,11.8867,15.8401,11.0942,23.5149,32.4197,0.240213,0.336877,23.3529,14.2475,84.4537,0.953168,2.51139e+09,122160,0.407144,-0.0674202,0,0,0,1,4,9,16,26,108,153,255
exploratory_real_blank_composites_0007,real_blank_composite,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,5.11611,15.6545,0.219654,8.29697e-05,1.55566,2.66846,4.67383,2.86685,5.70226,10.9095,0.203636,0.186202,12.8712,14.6665,88.2262,0.649839,9.069e+08,159424,0.274483,-0.0182128,0,0,0,0,1,3,4,11,101,148,255
