stable_image_id,source_kind,relative_path,inferred_pn,inferred_round,inferred_condition,inferred_div,series_index,mean,std,zero_fraction,saturation_fraction,local_mean_p25,local_mean_p50,local_mean_p75,local_variance_p25,local_variance_p50,local_variance_p75,row_variation,column_variation,low_frequency_gradient_p95_minus_p5,high_frequency_residual_std,high_frequency_residual_p99_abs,directional_power_ratio,radial_power_first_bin,radial_power_tail_median,autocorrelation_first_bin,autocorrelation_tail_median,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100
img_adf0a73f0c61c7077f54,fiber_image,PN148_3R_AD_DIV13 (Series 6) [1].tif,PN148,3R,AD,DIV13,6,4.45374,3.99238,0.149603,0,2.30811,4.12598,6.72754,4.03501,8.04386,13.7364,0.411227,0.389545,7.91314,3.02081,9.40687,1.00203,2.91361e+08,8848.94,0.887516,-0.27595,0,0,0,0,1,4,6,13,16,22,42
img_b39e45524852b6ff530d,fiber_image,PN148_4R_PSP_DIV11 (Series 0) [1].tif,PN148,4R,PSP,DIV11,0,8.56758,14.5867,0.112307,0,2.72485,3.51416,5.4624,5.33764,7.56955,13.862,0.534856,0.409806,41.3303,6.53416,28.2786,0.964461,7.41273e+09,33318.8,0.906898,-0.14215,0,0,0,0,1,4,8,42,71,109,205
img_b7842ce241cf56525577,fiber_image,PN151_4R_CBD_DIV03 (Series 5) [1].tif,PN151,4R,CBD,DIV03,5,16.5625,17.5159,0.0554085,0,4.90381,14.5181,22.439,9.59993,28.3086,53.8492,0.239314,0.511386,40.7735,10.0017,42.5817,0.81954,8.77243e+09,43064.7,0.824174,-0.137797,0,0,0,0,4,13,23,46,90,147,229
img_bb9526aa8e73e5120f68,fiber_image,PN148_3R_AD_DIV07 (Series 11) [1].tif,PN148,3R,AD,DIV07,11,5.90499,8.47952,0.185992,0,1.60645,2.80957,5.96875,3.01992,5.54981,14.2075,0.453514,0.441858,22.675,4.65213,17.8757,0.974388,2.18189e+09,18085.4,0.871343,-0.192507,0,0,0,0,1,3,8,24,39,62,162
img_c05a7da03d4448065d5e,fiber_image,PN148_4R_AD_DIV10 (Series 7) [1].tif,PN148,4R,AD,DIV10,7,6.56836,5.01381,0.0603323,0,3.52905,6.21094,9.63379,6.7378,13.3921,19.8699,0.395405,0.347393,9.40012,3.81082,11.5241,1.02384,4.56712e+08,14483.7,0.857643,-0.192286,0,0,0,0,3,6,9,16,21,28,72
img_c7247ce8d4425c9ca704,fiber_image,PN151_4R_CBD_DIV11 (Series 8) [1].tif,PN151,4R,CBD,DIV11,8,8.08811,7.99131,0.130795,0,2.11914,4.52881,15.4016,4.27443,11.2534,32.796,0.547755,0.449134,17.7341,4.32756,14.2083,1.00608,1.9795e+09,19600.6,0.934226,-0.293948,0,0,0,0,1,4,14,24,31,39,66
img_cad83080e420fd977a9b,fiber_image,PN148_3R_PID_DIV05 (Series 14) [1].tif,PN148,3R,PID,DIV05,14,4.90764,4.80672,0.0856438,0,3.19043,4.31152,5.92627,6.17805,8.46222,12.6402,0.193919,0.23212,6.84962,4.14029,15.2904,0.997477,2.37913e+08,13802.3,0.56384,-0.00368699,0,0,0,0,1,4,6,13,24,44,107
img_d076806a156c74e5e9ab,fiber_image,PN148_3R_AD_DIV10 (Series 8) [1].tif,PN148,3R,AD,DIV10,8,18.5061,28.6081,0.053731,8.96454e-05,4.49683,9.72119,20.4998,9.46967,31.9986,91.6691,0.485576,0.455213,65.1797,11.1059,47.8195,1.0743,3.03411e+10,59382.4,0.928245,-0.150444,0,0,0,0,4,9,21,67,159,220,255
img_d923330841d93407614c,fiber_image,PN148_3R_PID_DIV10 (Series 2) [1].tif,PN148,3R,PID,DIV10,2,6.88556,8.06394,0.201424,0,1.72534,3.28857,13.0896,3.10254,7.00458,28.0069,0.493361,0.5483,18.9717,4.06696,14.233,1.01772,2.09994e+09,16636.7,0.943017,-0.350486,0,0,0,0,1,3,11,24,32,41,61
img_dfb38c9ebff399b3f86e,fiber_image,PN148_4R_PSP_DIV5 (Series 2) [1].tif,PN148,4R,PSP,DIV5,2,21.5491,25.2905,0.0540485,1.52588e-05,5.02319,12.5996,31.9604,9.8101,27.0646,133.366,0.614882,0.352372,61.9039,11.5842,46.4995,0.971451,2.16768e+10,80870.9,0.89629,-0.190237,0,0,0,0,4,13,31,72,115,179,255
img_e650e1515047a1f7fba6,fiber_image,PN148_4R_PSP_DIV10 (Series 8) [1].tif,PN148,4R,PSP,DIV10,8,8.2948,9.60048,0.0567722,0,4.00073,6.21045,10.3142,8.41801,13.8157,41.4279,0.304576,0.332779,17.6379,7.23908,29.7097,1.07582,1.60221e+09,43454.9,0.666139,-0.0370409,0,0,0,0,3,6,11,26,47,89,197
img_ea91c645683f7bd78ded,fiber_image,PN148_3R_AD_DIV10 (Series 7) [1].tif,PN148,3R,AD,DIV10,7,9.39697,15.6453,0.0935974,2.86102e-06,3.11572,6.36523,10.5234,6.31225,16.6577,46.4333,0.280106,0.288572,22.6091,9.99044,42.7002,0.913067,5.21062e+09,38076.5,0.801192,-0.0172974,0,0,0,0,3,6,11,29,84,170,255
img_ee59402cbcbef63f208f,fiber_image,PN148_4R_PSP_DIV11 (Series 6) [1].tif,PN148,4R,PSP,DIV11,6,5.44589,4.48602,0.104977,0,3.44678,5.38086,7.59351,7.26406,11.1811,15.6491,0.250457,0.340509,8.08579,3.60392,10.76,0.978507,3.00745e+08,14437.6,0.776486,-0.0664924,0,0,0,0,3,4,8,14,18,29,140
img_f4a75c6be81d580370d0,fiber_image,PN148_4R_PSP_DIV5 (Series 3) [1].tif,PN148,4R,PSP,DIV5,3,10.321,8.92925,0.0683031,0,4.93506,10.1704,13.7458,11.3772,21.4353,31.6515,0.234337,0.405142,19.0754,6.10773,21.686,1.04042,1.76786e+09,32485.1,0.787501,-0.0578286,0,0,0,0,4,9,14,26,42,76,162
img_fa70735736b0e419c83c,fiber_image,PN148_4R_AD_DIV10 (Series 8) [1].tif,PN148,4R,AD,DIV10,8,2.84073,2.97169,0.226839,0,1.40137,2.27783,4.45459,2.4182,4.90218,9.3008,0.270844,0.314589,4.5309,2.50121,8.3432,0.994376,1.08504e+08,6499.44,0.774982,-0.165921,0,0,0,0,1,3,4,9,13,18,69
img_ffe8f9679077448a6547,fiber_image,PN148_4R_AD_DIV03 (Series 0) [1].tif,PN148,4R,AD,DIV03,0,18.6402,33.6077,0.0339537,0.000451088,4.75073,7.67969,16.7749,9.94788,20.1293,66.5128,0.377874,0.328732,75.9849,14.3522,68.2396,1.32809,3.75902e+10,66725.5,0.909063,-0.0643697,0,0,0,1,4,8,17,91,182,242,255
